housenum,zipcode,date_of_birth,sex,var6,var7,var8,var9,var10
97,8275 QI,19160417,0,2.245901708892488,0.5486024416570059,-0.2330464593880701,0.20705413665506792,0.16599451352198935
0,6892 ZT,19041203,0,0.04374865694297216,-0.574594282486394,-1.0013059663931692,-0.24382683002167074,-1.0749672792981262
84,3707 PZ,19060902,1,-0.11875911283437528,-0.37035940775923104,-0.3188174407850741,-0.33173446128586104,-1.1335161989194191
9,6570 WP,19931206,1,0.8808667501473317,-0.3665076207802671,0.22291817090622906,0.5206930549095498,-0.9278024598301816
9,4799TF,19401204,0,-0.6197317924604281,-0.5152838314582632,1.226718872058474,-0.6916458332211887,-1.1413672097748366
5,9893VG,19630723,0,0.5790605751233663,-1.0198619793785284,0.5972385687189652,0.6388758015288766,0.11959243311188215
717,1015 XQ,20150507,1,-1.2324069538612996,-0.2914113661169112,-0.3013917478857363,-1.3634916745823016,-0.2933429032687757
1,5154 VH,19670529,1,-0.1301832774888584,-0.8732788975822263,-1.7746491608742805,1.3241525080370502,2.7371126032327013
0,2964 XO,20140306,1,2.0946067663290915,0.03185359919286896,2.0267204262880467,1.6684138890757547,0.4080446930892001
290,9787ZT,19970623,0,-0.021939752550409933,-1.1656778786122768,-0.0385025815954458,-0.2846394902710387,1.1877074529317442
36,4791PL,19341225,0,-0.7380616839588251,1.4672831043507089,2.2451815430392363,-1.5687440784633435,0.4331453853533934
521,8028 EN,20040919,0,-0.7828997571122467,1.3615803376531033,0.011941766893587526,-0.7326358689761681,-0.7028463065499305
364,3783DV,20141030,1,-1.2747972563797163,-0.5976962366789422,-1.2966372309415906,1.2521690219506656,-0.025908655145099838
38,8197HA,19660720,1,-0.4771361543360902,-2.196560469233169,-0.343419666464054,1.0517523020362036,-0.4222933505449056
876,7804 WJ,19680828,1,0.1732908832956139,-1.3682247652418356,1.8520871175236968,0.2047038860990845,0.834455973628055
7,4575 AI,19651029,1,-0.8356975291722059,2.3360982182763954,-0.1860867004361984,0.6712259921645183,-0.11357458094650826
237,2971ZJ,19460201,1,-0.5295082164564447,1.599055459151555,-1.926247974878914,0.7522175016764969,-1.5972165842936004
37,6939 ZB,19510514,1,0.9693017124347002,1.4284569555786506,-0.3203229050796739,-2.1412361407842826,-0.8202577769209489
823,1586 JB,19661221,0,-1.9092441200572003,-1.0233612830712575,-0.11558511446934905,0.5744186944874009,-1.8693632769176625
0,8561 WU,19620215,0,-0.9718185647774298,-0.8260424819891182,0.4919358374862415,-0.8487159942409713,-0.2534696125404285
8,7916 CR,19921025,1,2.197380131750772,-0.9359863735047592,-1.5142042994169889,0.3278425722297913,0.0804982637784273
40,4600 BW,19501217,0,-1.6012238179418474,-0.10012777013907087,0.2930217214453649,0.21426787965084626,0.2592094553154732
19,3623WK,19470626,0,0.8196498591890227,-0.3037780003529473,0.9421941602455716,-0.4172374996859749,0.42872656374465984
0,7099 XB,19570429,0,-0.4071258449106678,-2.137238504424181,-1.05198516639422,0.056476577933547115,-1.1139625384575955
57,4394 GE,19510402,1,0.8256149397971555,-0.13957032388449364,-0.3506862158641537,0.0060358769667014965,-0.5413892284485582
5,7216HB,19750612,0,-1.0264074599296955,1.9583165216482457,0.8184753759882063,0.04243536498172488,0.7607495193366486
611,1405QY,19530417,1,-0.372923605561055,-0.3609691882592582,0.13451241620757926,2.4763419570234446,1.181075608852489
15,7487 UG,19061111,1,0.35113391967159496,0.014086293106742403,-0.5335088901962236,1.7347639975739133,0.1556303919301431
940,5804 HY,19560228,0,-0.8434831448283995,-0.18212434754725115,-0.3988324232694671,-0.92704702437399,0.3779969998266675
4,3790ZQ,19670510,1,0.9669305815071484,-0.06127360575137869,1.9310432412616811,-0.621950596656471,0.9994278196939588
253,4093SQ,19240208,0,-0.29804723808216577,-1.3518322951057244,0.3648614673620182,-0.01298842371601014,0.8824046045536643
15,8212FJ,19201113,1,-1.010347240958877,-0.605805881352797,-0.1237182009020256,-0.5878178979376385,-0.3671196321140025
50,3870CC,19210520,0,0.192308732516173,2.447528162978661,-1.608620962951998,-0.16972638979905644,-0.4522232083120751
3,5910OU,19100418,1,-0.2308626609314891,1.9094732080370231,-0.3099816191844003,1.1304503008426008,0.999123962232638
9,7434 RY,19330512,0,-0.17312886984278267,1.2117494634575234,-1.8900320535498958,-0.1840576412521464,-1.2246465365094503
0,5458 YG,19981005,1,-0.4058147783551437,-0.4373497767225955,2.437671008854281,0.9364384231684554,-0.05725311725806403
2,9821 WZ,19080807,0,0.5823600512813201,-0.8377062943112591,-0.4105498847027302,-0.5498863295099662,-0.9952876592290284
9,9304WN,19320311,1,0.884165882128014,0.25889446195189153,-0.2971902976527852,-0.17711748425143892,-1.1244537846869518
372,9714LJ,19391105,0,-0.050147634950246746,-1.8675806150580567,-0.13965068906251274,0.9775604315614599,-1.0749282852237418
8,4537FX,19440411,1,2.8583599087460967,-0.7372731082374455,-1.9805364214372088,-1.6035435341926454,-1.803007656617719
77,2893KA,19090501,1,-1.3830371469691491,-0.1974969378919852,-0.05183418389056271,-0.9154141285178088,-0.8438478434719469
44,2058DX,19641101,1,0.2238761035715613,1.494676895311554,-0.30698660785509985,-0.062346107094634534,0.19754841300259687
2,6612LK,19260626,1,0.040830047801758855,-0.511164020683172,0.5559336663133576,-1.3805057086676962,0.0098873009144433
9,7100MI,20050127,1,0.2542578882063004,-0.742732611283782,-1.5294665424550231,1.5731546683077908,0.05691328881015473
252,3933QV,19690609,1,-1.7290726755810637,0.2227340845645774,-0.6759047928919517,0.1292762562328746,0.020382696511232642
1,3622WY,19151026,0,-0.5494991378128478,-0.34601247113699224,0.4975234666410414,0.31700562987428305,-0.20758784427239646
7,9390EM,19560816,0,0.2621256229594489,0.5366180000085604,-0.9127733723636741,-1.4863974712835208,-0.6265173155510101
961,3560 NQ,19501122,1,0.26259250949385216,0.8544160994893663,0.4573680898742922,1.725008737322663,-1.5838077817636596
10,7957 ON,19540630,1,1.1475486329701727,0.10678139072714976,-0.7287098821359409,0.7765659366370496,0.26453618418937863
4,1455ZO,20011009,1,0.5123497393266243,0.33405428302722906,1.764656811908467,-0.9579527814632964,-1.0937325346573636
7,2250SW,19460603,0,-0.5824796523386265,0.5227757201798755,-0.7585435101590129,2.504388540033227,0.4220230596227353
9,2514VE,19471031,1,0.8616981391574607,-0.4270131869690498,-1.3595680161456765,-1.589592679714486,-0.9763475311973848
4,6748 SL,19731005,0,-0.5898354097845189,-1.1842827842557528,1.1790900513603808,0.4202025348643719,1.0882936595144534
838,9770BQ,19220326,0,1.487530207550262,0.5105319565633761,-0.22618391662847706,1.0252279614324935,0.5901879504912148
408,2284UK,19260823,0,1.4724181723206422,0.3266204326778479,-0.9642319906670884,1.5684895884857117,-1.3896045187234227
946,5064 GE,20080219,1,-1.0522347965719256,-0.4855393509904874,-0.1851491434784776,-1.7935981277313795,1.225813308853008
8,5834RZ,19730914,0,-0.10163061720609308,1.613655461650905,1.274030322625454,-0.13058958886508792,-1.5313752170491919
0,7499 LF,20110414,0,-1.5882144493107608,0.6585526208447153,1.8779646434942159,0.4835812574899479,-0.6713694825223837
56,4890SU,20131002,1,3.1786525987819236,-0.30061498309329066,-0.5844853069632285,-0.3176329840940024,-1.2338996146572587
238,5592 ZO,19480731,0,-0.02408555312081179,-0.02614671972875051,0.5899381705305009,0.8246802198801715,0.11633329029635267
97,4965 OL,19420901,1,2.011903316790145,-0.5457573102720668,2.19460990768566,1.6430544117166137,-0.1862936369382976
890,4258IT,19921025,0,0.5050496905990608,0.12748045647580206,-1.5145570827048327,0.1506136702532246,0.10766551490890304
53,8409 UX,19401224,1,-0.1899144756162776,0.6416863443724796,-0.967840172205206,1.019430876197981,-0.7393708278610943
0,4884RB,19370309,1,0.5803257101153274,0.03746287993705337,-0.7754418578383885,-0.18395567418063324,0.163520884797732
95,2204JQ,20100206,1,0.43139857353564504,0.4527737511375651,-0.6046608564684784,2.3462901971964345,0.925579285504364
89,9194NN,19960416,1,-0.7223657744741744,0.13806281823912794,-0.22075094876719006,0.3402470804737368,1.4931109281817092
14,1530RW,19930920,1,0.9106639308551552,-0.11365920453561824,1.027804111255712,0.9716965949211586,-0.0203788951286079
4,3237LN,19241130,1,-2.1681906050718496,-1.3076268858238649,-0.7180861142789884,0.21671631178573608,0.23371023186965045
29,2074HT,19820521,0,-1.2449715920771822,0.10248532599999913,0.14534340191700282,-1.0315823463100044,0.04652321306855658
87,5413 YM,19980218,0,-0.13267292979758127,1.683247812788096,1.8353976449095692,0.8340775979447442,-0.4277174050124536
4,1403 XI,19380712,0,-0.6444602941163643,-0.1181719045157668,-0.91526889616131,-0.3755353123838939,0.6974910094744864
275,4295 PK,20021123,0,-1.50462984883351,0.6841419211789289,0.2349950767105816,-1.7069521583442864,0.8679289734659981
86,6936 EU,19370115,0,0.1665806630844125,-1.063901425565715,1.2889070416396229,0.5383968049351467,-1.555524816636989
44,2477 AR,19070827,0,-0.8724621425078329,-0.363032065012774,0.682180950088778,0.3975743457425201,-2.1528845954835947
3,5171 MU,19590208,0,1.4437594588113318,-1.601721729430179,-0.8807971399113813,-0.8775128469997037,1.4314845117408899
2,7192 EJ,19950124,0,1.0493044618710214,-0.03587553378696092,0.448676214110184,-0.5689564598691272,0.10566058523512163
912,4901 SG,19320829,1,0.93834343065326,-1.1082097184274422,0.04150715837533021,-0.26581870318479245,1.1575810437954972
27,9141XH,19770722,1,1.1038123417245465,0.2705084428210764,1.2624554826008685,0.8282771391751563,0.6075540050096297
2,3312BR,19630731,1,-0.13792885914681402,1.5651700866058094,2.036048728047536,0.6518756473969338,0.1858422899196362
9,3654 WJ,19510810,1,0.31783273858377603,0.14979803515068355,1.2796107438180226,0.4427000167108342,-0.5735107428591838
39,6469 RY,19890209,1,-1.4493595630933718,-0.3296417836675091,-0.048867633955957314,0.7893986493298906,0.3338837450190273
6,2178 ZZ,19691010,1,1.1475801955898717,0.8561431902536227,-0.2263806421355307,0.07157047968942812,1.0894426573118907
90,9169 SS,19920302,1,1.5603741586410178,1.4464932405455515,0.11021330558215636,-1.2255548467208022,0.7959016647301894
83,6804DM,19150131,1,1.5806037745760413,-1.227447812552236,0.10274826833130636,0.10653103181561338,-1.112286506435057
32,5746WQ,19721227,1,-0.6612280085581687,0.2531313390315035,0.4637168008518018,-0.7543868690269238,2.733222316555925
12,6172 SP,19530321,0,0.6429889703337596,0.9689902201146628,0.6168658257258779,-2.6255418214521957,-0.4571868011540484
6,5130 HF,19860331,1,-0.2780840616128367,1.7826118140222091,1.7687107471267307,-0.4654631093030255,0.5844134601396129
5,8807 HH,20130924,1,-0.4710511953430192,-0.5436203449817724,1.2990620786892664,0.09988584416315914,0.038302135170626264
114,8089RO,19920113,1,-1.0311366125456185,-0.6844642537972994,-0.6451110102588505,0.022730498651416468,-0.8524641442884159
45,3699 ZN,19210114,1,0.2301170641275142,-0.2740231424966155,-0.980067341638651,-0.028969022602549143,0.9960114250250276
